"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" QTRTD1 ",3.10683,9.21985166666667,35.683796125178,7.41115536351429e-12,1.01606940033781e-08,17.7908499777393
" FUBP1 ",2.43434666666667,9.49022666666667,34.4764743544393,1.04216436564104e-11,1.34942915944421e-08,17.4822479444644
" FPGT-TNNI3K ",2.58137666666667,7.49189833333333,34.072357310867,1.17121013490684e-11,1.43670497969862e-08,17.3757281462573
" ABHD4 ",3.32253333333333,6.98094666666667,33.602731736647,1.34369522421312e-11,1.44267658582511e-08,17.2498319930794
" SLC13A5 ",2.80125333333333,8.40787666666667,33.5919506228408,1.34796969848229e-11,1.44267658582511e-08,17.246914759157
" WNT7B ",2.53182666666667,8.73486,33.4298481201825,1.41407519715062e-11,1.44267658582511e-08,17.2029037079352
" SPINT4 ",-3.70844,8.50741333333333,-33.4070053676354,1.42367363770445e-11,1.44267658582511e-08,17.1966794548736
" MDC1 ",-2.51893,9.914235,-32.9584685792408,1.6274334276075e-11,1.58044128738533e-08,17.0733258698428
" DUS2 ",-2.86284666666667,8.17669333333333,-32.5054869702886,1.86623405251283e-11,1.72449097252659e-08,16.946519068482
" SNORD115-34 ",-2.25201,9.67506166666667,-32.4059013395501,1.92374674070843e-11,1.72449097252659e-08,16.9183349288279
" LOC100420587 ",-2.57027,9.70583166666667,-32.2192941952909,2.03683545616513e-11,1.75824162877188e-08,16.8652209666814
" BBX ",2.92491333333334,8.86901,31.940268034381,2.21980611135032e-11,1.80348801108637e-08,16.7850603058345
" RNA5SP100 ",-3.33756,7.89746333333333,-31.9052603061946,2.24401048275216e-11,1.80348801108637e-08,16.7749396831665
" C8orf74 ",-2.60314333333333,9.777895,-31.7601200116561,2.34750180816747e-11,1.8237741547653e-08,16.7328280795102
" PROSER1 ",-3.162,10.2595333333333,-31.6090389252721,2.46083240629611e-11,1.84377491731782e-08,16.6887309322817
" TMEM179 ",-2.82644,9.09864666666667,-31.5039268141219,2.54322453681068e-11,1.84377491731782e-08,16.6578922876398
" LRRN3 ",2.74943666666667,9.521815,31.4207529418825,2.610570741472e-11,1.84377491731782e-08,16.6333970981436
" HIST1H2BK ",2.64957333333333,9.15964666666667,31.2371634776737,2.76627105131964e-11,1.89627880567961e-08,16.5790360804024
" RN7SL459P ",2.20834,9.88816333333333,30.7450214945072,3.23639103528266e-11,2.14338931015775e-08,16.4312937599374
" MRGPRG-AS1 ",-2.43890666666666,10.8567133333333,-30.6744947926194,3.31067984578363e-11,2.14338931015775e-08,16.4098769924972
" CCDC157 ",2.65835,10.1936583333333,30.5763933316054,3.41714974375034e-11,2.15252727236728e-08,16.3799833676336
" CERS1 ",2.07956333333333,9.21515166666667,30.1792201369858,3.88834608966909e-11,2.35056016413037e-08,16.2577142094442
" HOXB2 ",-2.54431,8.64988833333333,-30.1300295407477,3.95151305883176e-11,2.35056016413037e-08,16.2424308005215
" C12orf4 ",-2.52759666666666,10.0262683333333,-30.0178025519828,4.09989122279096e-11,2.35056016413037e-08,16.2074451702998
" TWF2 ",2.24402,9.64339,29.7388886730463,4.49587404238111e-11,2.35056016413037e-08,16.1197858940422
" CITED4 ",1.98075666666667,6.85392166666667,29.7189090488934,4.52581275126994e-11,2.35056016413037e-08,16.1134673067119
" TAS2R16 ",2.39553,9.87996833333333,29.7166486727456,4.52921361440282e-11,2.35056016413037e-08,16.1127521269225
" GNPNAT1 ",2.06502333333333,10.3973216666667,29.6987863325173,4.55618752979599e-11,2.35056016413037e-08,16.1070981299955
" MYO15B ",-2.44366,10.3011033333333,-29.6623067316738,4.61182560037594e-11,2.35056016413037e-08,16.0955380497265
" TOR1AIP2 ",-1.93776666666667,8.42691,-29.5215228284759,4.83365657311083e-11,2.35056016413037e-08,16.0507588467886
" FAT1 ",2.13572,8.51249,29.4745742551469,4.91021987817239e-11,2.35056016413037e-08,16.0357670057161
" UBXN1 ",-2.96678,8.14402333333333,-29.4586562233762,4.9364806715006e-11,2.35056016413037e-08,16.0306772701645
" MYO1E ",2.78653333333334,9.8815,29.4554713294161,4.94175346644304e-11,2.35056016413037e-08,16.0296585025828
" CALML3 ",-2.10376666666667,9.86295,-29.3529445882267,5.11484511861617e-11,2.38423390359174e-08,15.9967897710897
" SLC29A4 ",-2.16880666666667,8.81451,-29.1428935735614,5.49065845377115e-11,2.50923091337341e-08,15.929005001628
" CHCHD7 ",2.34096666666667,11.5575833333333,28.9797403577881,5.80352361047728e-11,2.58053334118119e-08,15.8759374779357
" CADM4 ",2.65778333333333,10.1099416666667,28.9472593635305,5.86811975297563e-11,2.58053334118119e-08,15.8653287621061
" SAMD3 ",2.63763,9.124585,28.843497734124,6.07982677850406e-11,2.62412079123323e-08,15.8313406099395
" ITGA10 ",1.945,10.3174666666667,28.7530732452389,6.27117932623012e-11,2.65749775557174e-08,15.8015985455275
" RPL23AP64 ",-2.71758,8.96217666666667,-28.5548231388637,6.71429688786453e-11,2.79446638509747e-08,15.7359878982072
" AKR1E2 ",-2.50408333333333,8.556775,-28.2123942106036,7.56298637817075e-11,3.09246532484256e-08,15.6213399637983
" MAML3 ",2.72054666666667,7.6432,27.6924014418722,9.08605647860192e-11,3.5387846734254e-08,15.443967326705
" RN7SL68P ",2.14128333333333,7.38064166666667,27.6887072731977,9.09801664966376e-11,3.5387846734254e-08,15.4426928282861
" ERMARD ",-2.26067,8.56070833333333,-27.685007189293,9.11001331812433e-11,3.5387846734254e-08,15.4414160831583
" C5orf47 ",-2.96484333333333,9.04787833333333,-27.6041439151693,9.37658424069826e-11,3.55866372948772e-08,15.4134619578583
" DIRAS3 ",-2.13094666666667,9.54189333333333,-27.5774185956064,9.46656160073105e-11,3.55866372948772e-08,15.4042013785286
" IDH3G ",2.12812,10.7249066666667,27.5318378234224,9.62221780472188e-11,3.55976238689925e-08,15.3883822031041
" RNA5SP71 ",2.27282333333333,9.07352166666667,27.4338793090254,9.96634767849654e-11,3.62946352097998e-08,15.3542778437828
" RNA5SP403 ",2.28570333333333,7.582185,27.2951806063691,1.04769522689893e-10,3.75671271589745e-08,15.305738243631
" EFCC1 ",2.54890666666667,9.02864666666667,27.1135998414643,1.11893755392824e-10,3.95137538930385e-08,15.2417416870953
" GPR162 ",-2.38697666666667,7.52090166666667,-27.0364204895973,1.15081690185853e-10,4.00329694501742e-08,15.214384674333
" TPRG1L ",-2.00620333333333,7.67665166666667,-26.8961603910633,1.21133850854002e-10,4.15186273802092e-08,15.1644279458045
" RPL12P2 ",1.82954333333334,10.769395,26.8457995755608,1.23391549330576e-10,4.16795194238801e-08,15.1464147985155
" RN7SL685P ",2.58473666666667,8.677175,26.7410234455796,1.28238369657231e-10,4.25463492701257e-08,15.1088086839202
" DHX37 ",-2.17700333333333,9.905265,-26.7121873869268,1.2960873549487e-10,4.25463492701257e-08,15.0984280354613
" BAZ1B ",3.83907,8.13838833333333,26.5566316961385,1.37284288157581e-10,4.44400681123436e-08,15.0421986222331
" SLC38A7 ",3.35767,9.21769833333333,26.4959538259409,1.40412597922623e-10,4.48045866720899e-08,15.0201587894337
" KRTAP1-5 ",-2.53834,9.07539666666667,-26.460907292964,1.42255091334563e-10,4.48045866720899e-08,15.0074016030218
" CCL14 ",2.50864,7.50329,26.4020520799059,1.45409337520094e-10,4.48666961831413e-08,14.9859326831397
" SDE2 ",1.83550333333334,9.797715,26.3856438651908,1.46302351650523e-10,4.48666961831413e-08,14.9799372471614
" SEPT7 ",2.15064333333333,7.364765,26.1781488299654,1.58130740118852e-10,4.78643267525986e-08,14.9037366924207
" SOCS2 ",2.35078666666667,8.35724333333333,26.1186896699434,1.61711144029529e-10,4.83205337679005e-08,14.8817690195768
" GLP1R ",1.70623333333333,11.11645,25.9208632461566,1.74279900849718e-10,5.01376926147187e-08,14.8082530094689
" SNORA20 ",2.22495666666667,9.411555,25.9096151019046,1.75026124516668e-10,5.01376926147187e-08,14.8040531158569
" TNFAIP3 ",2.26669,7.50466833333333,25.9061835485048,1.75254478835528e-10,5.01376926147187e-08,14.8027713959047
" ERBB3 ",2.07527,9.831665,25.8890842010905,1.76397253803876e-10,5.01376926147187e-08,14.7963816329899
" FAM106A ",2.09176333333334,10.8464183333333,25.8435995175801,1.79477121440621e-10,5.03984731255006e-08,14.7793604781649
" IQCA1 ",2.41571666666667,8.83771166666667,25.7671053725706,1.84790822267286e-10,5.1145313220442e-08,14.7506553707947
" ZNF264 ",2.33428,7.43879666666667,25.7426546671336,1.86525577025682e-10,5.1145313220442e-08,14.7414588779118
" JADE1 ",2.20855333333334,7.53882666666667,25.680993148551,1.90980402243082e-10,5.17579097102269e-08,14.7182208407665
" KLK9 ",-1.70393333333333,12.0049333333333,-25.6134339181172,1.95995974793149e-10,5.25066457988956e-08,14.6926848045251
" EXOSC6 ",1.72727666666667,10.3962283333333,25.5557127149296,2.00395956255385e-10,5.30753244595939e-08,14.6708046467387
" XRRA1 ",1.79427333333333,9.86229666666667,25.5031435461823,2.0449778057642e-10,5.3553143504434e-08,14.6508269696346
" SNORA6 ",2.39675333333334,8.71940666666667,25.4371538812607,2.09777894953884e-10,5.43254821965575e-08,14.6256807439722
